Iteration 0:
-0.009699 -0.866815 2.723353
-0.714121 -0.121855 3.383484
0.902867 -0.252220 3.705556
-0.164112 -0.267125 2.360307
-0.030524 -1.081059 3.026895
-0.174256 -1.728440 5.899462
0.121895 0.101658 1.020068
-0.634881 0.184300 3.625588
-0.343820 0.022464 2.427042
0.179555 0.565507 3.544568
-0.832595 -0.898714 3.984104
0.724930 0.000642 3.142751
0.255704 -1.699972 6.193133
0.022747 2.007960 4.959980
-0.287646 -0.220836 2.743850
-0.193802 -0.381596 3.070068
0.166132 -0.208284 1.994058
0.004498 -0.255002 1.804096
0.850627 -1.056027 4.059714
0.060112 0.297919 2.187406
0.251051 0.918008 3.696822
-0.394411 0.278729 3.422195
-0.051888 -0.255529 1.864130
0.058310 -0.583203 3.275037
0.022860 0.564376 3.217919
-0.404198 0.093571 2.854061
0.095953 0.218574 1.716998
0.150188 0.114728 1.293402
-0.170356 -0.315188 2.664783
-0.499752 -0.120499 3.248377
-0.063893 -0.439607 2.940264
-0.354658 0.328318 3.457904
-1.167685 -0.027724 3.668275
0.397603 -1.247930 5.425271
1.203973 0.702453 5.301147
-0.793564 0.096872 3.131103
-0.629431 -0.462417 4.373565
-0.525465 0.047703 3.172095
0.228723 0.211766 2.376816
0.391945 0.570176 4.151417
0.403909 1.021246 4.507744
0.217535 -0.057998 1.579493
-0.398358 0.170683 3.057218
Iteration 11:
0.401325 -0.356494 3.692200
0.150188 0.114728 1.293402
-0.062035 0.514835 3.167213
-0.394411 0.278729 3.422195
0.179555 0.565507 3.544568
0.228723 0.211766 2.376816
-0.832595 -0.898714 3.984104
-0.139481 -0.047384 0.909598
-0.193802 -0.381596 3.070068
0.121895 0.101658 1.020068
-0.634881 0.184300 3.625588
0.539700 -0.226029 3.642648
-0.174256 -1.728440 5.899462
0.403909 1.021246 4.507744
0.102687 0.295274 2.287393
-0.006368 0.297919 2.122661
-0.343820 0.022464 2.427042
-0.499752 -0.120499 3.248377
0.144891 -0.700426 3.476479
-0.080349 -0.188602 1.420126
0.251051 0.918008 3.696822
0.724930 0.000642 3.142751
-1.167685 -0.027724 3.668275
0.861632 -0.215619 3.542136
0.645643 0.355483 4.155978
0.184512 0.188563 1.976356
-0.009699 -0.866815 2.723353
0.401549 0.717439 4.312485
0.095953 0.218574 1.716998
-0.287646 -0.220836 2.743850
0.217535 -0.057998 1.579493
0.357077 -0.765025 4.201525
-0.354658 0.328318 3.457904
-0.793564 0.096872 3.131103
0.431598 -0.252220 3.453033
-1.139797 -0.009734 3.429234
-0.051888 -0.255529 1.864130
0.004498 -0.255002 1.804096
-0.170356 -0.315188 2.664783
-0.714121 -0.121855 3.383484
-0.168786 -0.186231 1.865172
-0.003089 -0.462417 2.970496
0.755394 0.047703 3.108591
-0.063893 -0.439607 2.940264
-0.030524 -1.081059 3.026895
0.166132 -0.208284 1.994058
0.391945 0.570176 4.151417
-0.164112 -0.267125 2.360307
0.058310 -0.583203 3.275037
-0.398358 0.170683 3.057218
Iteration 12:
0.539700 -0.226029 3.642648
0.179555 0.565507 3.544568
0.401325 -0.356494 3.692200
0.724930 0.000642 3.142751
-0.006368 0.297919 2.122661
0.645643 0.355483 4.155978
0.121895 0.101658 1.020068
-0.832595 -0.083781 2.975965
-0.880490 -1.137236 4.403746
0.166132 -0.208284 1.994058
-0.009699 -0.866815 2.723353
-0.139481 -0.047384 0.909598
0.004498 -0.255002 1.804096
0.228723 0.211766 2.376816
0.861632 -0.215619 3.542136
0.102687 0.295274 2.287393
-0.193802 -0.381596 3.070068
-0.302653 0.786582 4.012837
0.755394 0.047703 3.108591
0.150188 0.114728 1.293402
0.144891 -0.700426 3.476479
